Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),Recharge time (h),Energy Efficiency (km/kWh),City Efficiency (km/kWh),Highway Efficiency (km/kWh),power_efficiency_ratio,City_power_efficiency_ratio,Highway_power_efficiency_ratio,charging_speed
2021,Porsche,Taycan 4 Cross Turismo,Mid-size,280,A2,B,27.5,27.2,27.4,3.1,3.1,3.1,346,10.5,3.6496350364963503,3.6363636363636362,3.6764705882352944,76.72,77.0,76.16,32.95238095238095
2021,Porsche,Taycan 4S (Performance Battery),Compact,320,A2,B,26.6,26.1,26.4,3.0,2.9,3.0,320,9.5,3.787878787878788,3.7593984962406015,3.8314176245210727,84.47999999999999,85.12,83.52,33.68421052631579
2021,Porsche,Taycan 4S (Performance Battery Plus),Compact,360,A2,B,28.0,25.8,27.3,3.1,2.9,3.0,365,10.5,3.663003663003663,3.5714285714285716,3.875968992248062,98.28,100.8,92.88000000000001,34.76190476190476
2021,Porsche,Taycan 4S Cross Turismo,Mid-size,360,A2,B,28.0,28.0,28.0,3.1,3.1,3.1,346,10.5,3.5714285714285716,3.5714285714285716,3.5714285714285716,100.8,100.8,100.8,32.95238095238095
2021,Porsche,Taycan Turbo,Compact,460,A2,B,29.2,28.0,28.6,3.3,3.1,3.2,341,10.5,3.4965034965034962,3.4246575342465753,3.5714285714285716,131.56,134.32,128.79999999999998,32.476190476190474
2021,Porsche,Taycan Turbo Cross Turismo,Mid-size,460,A2,B,29.1,29.2,29.1,3.3,3.3,3.3,328,10.5,3.4364261168384878,3.4364261168384878,3.4246575342465753,133.86,133.86,134.32,31.238095238095237
2021,Porsche,Taycan Turbo S,Compact,460,A2,B,30.2,29.5,29.9,3.4,3.3,3.4,323,10.5,3.3444816053511706,3.3112582781456954,3.389830508474576,137.54,138.92,135.70000000000002,30.761904761904763
2021,Porsche,Taycan Turbo S Cross Turismo,Mid-size,460,A2,B,28.5,28.7,28.6,3.2,3.2,3.2,325,10.5,3.4965034965034962,3.508771929824561,3.4843205574912894,131.56,131.1,132.01999999999998,30.952380952380953
2021,Tesla,Model 3 Standard Range,Mid-size,191,A1,B,14.5,16.0,15.2,1.6,1.8,1.7,151,3.7,6.578947368421053,6.896551724137931,6.25,29.031999999999996,27.695,30.56,40.81081081081081
2021,Tesla,Model 3 Standard Range Plus,Mid-size,191,A1,B,13.9,15.7,14.8,1.6,1.8,1.7,423,8.5,6.756756756756756,7.194244604316546,6.369426751592357,28.268000000000004,26.549,29.987,49.76470588235294
2021,Tesla,Model 3 Long Range AWD,Mid-size,293,A1,B,14.9,16.5,15.6,1.7,1.9,1.8,568,10.0,6.410256410256411,6.7114093959731544,6.0606060606060606,45.708,43.657,48.345,56.8
2021,Tesla,Model 3 Performance,Mid-size,321,A1,B,17.8,19.6,18.6,2.0,2.2,2.1,507,10.0,5.376344086021505,5.617977528089887,5.1020408163265305,59.706,57.138000000000005,62.916000000000004,50.7
2021,Tesla,Model S Long Range,Full-size,494,A1,B,16.9,18.3,17.5,1.9,2.1,2.0,652,15.0,5.714285714285714,5.91715976331361,5.46448087431694,86.45,83.48599999999999,90.402,43.46666666666667
2021,Tesla,Model S Long Range Plus,Full-size,398,A1,B,18.1,19.3,18.6,2.0,2.2,2.1,629,12.0,5.376344086021505,5.524861878453038,5.181347150259067,74.028,72.03800000000001,76.81400000000001,52.416666666666664
2021,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,18.4,19.7,19.0,2.1,2.2,2.1,623,12.0,5.2631578947368425,5.434782608695652,5.0761421319796955,110.19999999999999,106.72,114.25999999999999,51.916666666666664
2021,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,21.3,22.6,21.9,2.4,2.5,2.5,538,12.0,4.566210045662101,4.694835680751174,4.424778761061947,127.02,123.53999999999999,131.08,44.833333333333336
2021,Tesla,"Model S Plaid (19"" Wheels)",Full-size,750,A1,B,17.6,18.7,18.1,2.0,2.1,2.0,637,15.0,5.524861878453038,5.681818181818182,5.347593582887701,135.75000000000003,132.0,140.25,42.46666666666667
2021,Tesla,"Model S Plaid (21"" Wheels)",Full-size,750,A1,B,20.4,21.2,20.8,2.3,2.4,2.3,560,15.0,4.8076923076923075,4.901960784313726,4.716981132075472,156.0,153.0,159.0,37.333333333333336
2021,Tesla,Model X Long Range,Sport utility vehicle: Standard,494,A1,B,19.7,21.7,20.6,2.2,2.4,2.3,560,14.0,4.854368932038835,5.0761421319796955,4.6082949308755765,101.76400000000001,97.318,107.198,40.0
2021,Tesla,Model X Long Range Plus,Sport utility vehicle: Standard,398,A1,B,19.3,20.7,19.9,2.2,2.3,2.2,597,12.0,5.025125628140704,5.181347150259067,4.830917874396135,79.202,76.81400000000001,82.386,49.75
